"Lat","Lon"
-24.25,141.5
-24.75,141.5
-25.25,141.5
-25.75,141.5
-26.25,141.5
-26.75,141.5
-27.25,141.5
-27.75,141.5
-28.25,141.5
-28.75,141.5
-29.25,141.5
-29.75,141.5
-30.25,141.5
-30.75,141.5
-31.25,141.5
-31.75,141.5
-32.25,141.5
-32.75,141.5
-33.25,141.5
-33.75,141.5
-34.25,141.5
-34.75,141.5
-35.25,141.5
-35.75,141.5
-36.25,141.5
-36.75,141.5
-37.25,141.5
-37.75,141.5
-38.25,141.5
-10.75,142.5
-11.25,142.5
-11.75,142.5
-12.25,142.5
-12.75,142.5
-13.25,142.5
-13.75,142.5
-14.25,142.5
-14.75,142.5
-15.25,142.5
-15.75,142.5
-16.25,142.5
-16.75,142.5
-17.25,142.5
-17.75,142.5
-18.25,142.5
-18.75,142.5
-19.25,142.5
-19.75,142.5
-20.25,142.5
-20.75,142.5
-21.25,142.5
-21.75,142.5
-22.25,142.5
-22.75,142.5
-23.25,142.5
-23.75,142.5
-24.25,142.5
-24.75,142.5
-25.25,142.5
-25.75,142.5
-26.25,142.5
-26.75,142.5
-27.25,142.5
-27.75,142.5
-28.25,142.5
-28.75,142.5
-29.25,142.5
-29.75,142.5
-30.25,142.5
-30.75,142.5
-31.25,142.5
-31.75,142.5
-32.25,142.5
-32.75,142.5
-33.25,142.5
-33.75,142.5
-34.25,142.5
-34.75,142.5
-35.25,142.5
-35.75,142.5
-36.25,142.5
-36.75,142.5
-37.25,142.5
-37.75,142.5
-38.25,142.5
-13.25,143.5
-13.75,143.5
-14.25,143.5
-14.75,143.5
-15.25,143.5
-15.75,143.5
-16.25,143.5
-16.75,143.5
-17.25,143.5
-17.75,143.5
-18.25,143.5
-18.75,143.5
-19.25,143.5
-19.75,143.5
-20.25,143.5
-20.75,143.5
-21.25,143.5
-21.75,143.5
-22.25,143.5
-22.75,143.5
-23.25,143.5
-23.75,143.5
-24.25,143.5
-24.75,143.5
-25.25,143.5
-25.75,143.5
-26.25,143.5
-26.75,143.5
-27.25,143.5
-27.75,143.5
-28.25,143.5
-28.75,143.5
-29.25,143.5
-29.75,143.5
-30.25,143.5
-30.75,143.5
-31.25,143.5
-31.75,143.5
-32.25,143.5
-32.75,143.5
-33.25,143.5
-33.75,143.5
-34.25,143.5
-34.75,143.5
-35.25,143.5
-35.75,143.5
-36.25,143.5
-36.75,143.5
-37.25,143.5
-37.75,143.5
-38.25,143.5
-38.75,143.5
-14.25,144.5
-14.75,144.5
-15.25,144.5
-15.75,144.5
-16.25,144.5
-16.75,144.5
-17.25,144.5
-17.75,144.5
-18.25,144.5
-18.75,144.5
-19.25,144.5
-19.75,144.5
-20.25,144.5
-20.75,144.5
-21.25,144.5
-21.75,144.5
-22.25,144.5
-22.75,144.5
-23.25,144.5
-23.75,144.5
-24.25,144.5
-24.75,144.5
-25.25,144.5
-25.75,144.5
-26.25,144.5
-26.75,144.5
-27.25,144.5
-27.75,144.5
-28.25,144.5
-28.75,144.5
-29.25,144.5
-29.75,144.5
-30.25,144.5
-30.75,144.5
-31.25,144.5
-31.75,144.5
-32.25,144.5
-32.75,144.5
-33.25,144.5
-33.75,144.5
-34.25,144.5
-34.75,144.5
-35.25,144.5
-35.75,144.5
-36.25,144.5
-36.75,144.5
-37.25,144.5
-37.75,144.5
-38.25,144.5
-16.75,145.5
-17.25,145.5
-17.75,145.5
-18.25,145.5
-18.75,145.5
-19.25,145.5
-19.75,145.5
-20.25,145.5
-20.75,145.5
-21.25,145.5
-21.75,145.5
-22.25,145.5
-22.75,145.5
-23.25,145.5
-23.75,145.5
-24.25,145.5
-24.75,145.5
-25.25,145.5
-25.75,145.5
-26.25,145.5
-26.75,145.5
-27.25,145.5
-27.75,145.5
-28.25,145.5
-28.75,145.5
-29.25,145.5
-29.75,145.5
-30.25,145.5
-30.75,145.5
-31.25,145.5
-31.75,145.5
-32.25,145.5
-32.75,145.5
-33.25,145.5
-33.75,145.5
-34.25,145.5
-34.75,145.5
-35.25,145.5
-35.75,145.5
-36.25,145.5
-36.75,145.5
-37.25,145.5
-37.75,145.5
-38.25,145.5
-41.25,145.5
-41.75,145.5
-42.25,145.5
-42.75,145.5
-19.25,146.5
-19.75,146.5
-20.25,146.5
-20.75,146.5
-21.25,146.5
-21.75,146.5
-22.25,146.5
-22.75,146.5
-23.25,146.5
-23.75,146.5
-24.25,146.5
-24.75,146.5
-25.25,146.5
-25.75,146.5
-26.25,146.5
-26.75,146.5
-27.25,146.5
-27.75,146.5
-28.25,146.5
-28.75,146.5
-29.25,146.5
-29.75,146.5
-30.25,146.5
-30.75,146.5
-31.25,146.5
-31.75,146.5
-32.25,146.5
-32.75,146.5
-33.25,146.5
-33.75,146.5
-34.25,146.5
-34.75,146.5
-35.25,146.5
-35.75,146.5
-36.25,146.5
-36.75,146.5
-37.25,146.5
-37.75,146.5
-38.25,146.5
-38.75,146.5
-41.25,146.5
-41.75,146.5
-42.25,146.5
-42.75,146.5
-43.25,146.5
-19.75,147.5
-20.25,147.5
-20.75,147.5
-21.25,147.5
-21.75,147.5
-22.25,147.5
-22.75,147.5
-23.25,147.5
-23.75,147.5
-24.25,147.5
-24.75,147.5
-25.25,147.5
-25.75,147.5
-26.25,147.5
-26.75,147.5
-27.25,147.5
-27.75,147.5
-28.25,147.5
-28.75,147.5
-29.25,147.5
-29.75,147.5
-30.25,147.5
-30.75,147.5
-31.25,147.5
-31.75,147.5
-32.25,147.5
-32.75,147.5
-33.25,147.5
-33.75,147.5
-34.25,147.5
-34.75,147.5
-35.25,147.5
-35.75,147.5
-36.25,147.5
-36.75,147.5
-37.25,147.5
-37.75,147.5
-41.25,147.5
-41.75,147.5
-42.25,147.5
-42.75,147.5
-20.25,148.5
-20.75,148.5
-21.25,148.5
-21.75,148.5
-22.25,148.5
-22.75,148.5
-23.25,148.5
-23.75,148.5
-24.25,148.5
-24.75,148.5
-25.25,148.5
-25.75,148.5
-26.25,148.5
-26.75,148.5
-27.25,148.5
-27.75,148.5
-28.25,148.5
-28.75,148.5
-29.25,148.5
-29.75,148.5
-30.25,148.5
-30.75,148.5
-31.25,148.5
-31.75,148.5
-32.25,148.5
-32.75,148.5
-33.25,148.5
-33.75,148.5
-34.25,148.5
-34.75,148.5
-35.25,148.5
-35.75,148.5
-36.25,148.5
-36.75,148.5
-37.25,148.5
-37.75,148.5
-22.25,149.5
-22.75,149.5
-23.25,149.5
-23.75,149.5
-24.25,149.5
-24.75,149.5
-25.25,149.5
-25.75,149.5
-26.25,149.5
-26.75,149.5
-27.25,149.5
-27.75,149.5
-28.25,149.5
-28.75,149.5
-29.25,149.5
-29.75,149.5
-30.25,149.5
-30.75,149.5
-31.25,149.5
-31.75,149.5
-32.25,149.5
-32.75,149.5
-33.25,149.5
-33.75,149.5
-34.25,149.5
-34.75,149.5
-35.25,149.5
-35.75,149.5
-36.25,149.5
-36.75,149.5
-37.25,149.5
-37.75,149.5
-22.25,150.5
-22.75,150.5
-23.25,150.5
-23.75,150.5
-24.25,150.5
-24.75,150.5
-25.25,150.5
-25.75,150.5
-26.25,150.5
-26.75,150.5
-27.25,150.5
-27.75,150.5
-28.25,150.5
-28.75,150.5
-29.25,150.5
-29.75,150.5
-30.25,150.5
-30.75,150.5
-31.25,150.5
-31.75,150.5
-32.25,150.5
-32.75,150.5
-33.25,150.5
-33.75,150.5
-34.25,150.5
-34.75,150.5
-35.25,150.5
-24.25,151.5
-24.75,151.5
-25.25,151.5
-25.75,151.5
-26.25,151.5
-26.75,151.5
-27.25,151.5
-27.75,151.5
-28.25,151.5
-28.75,151.5
-29.25,151.5
-29.75,151.5
-30.25,151.5
-30.75,151.5
-31.25,151.5
-31.75,151.5
-32.25,151.5
-32.75,151.5
-33.25,151.5
-25.25,152.5
-25.75,152.5
-26.25,152.5
-26.75,152.5
-27.25,152.5
-27.75,152.5
-28.25,152.5
-28.75,152.5
-29.25,152.5
-29.75,152.5
-30.25,152.5
-30.75,152.5
-31.25,152.5
-31.75,152.5
-32.25,152.5
-28.25,153.5
-28.75,153.5
