"Station","Latitude","Longitude"
"029049","-20.4436"," 141.4553"
"031024","-17.5350"," 145.4822"
"042012","-27.2478"," 149.6758"
"047045","-33.3326"," 141.7716"
"093008","-41.8628"," 147.3014"
"029126","-20.7361"," 139.4817"
"055043","-31.7118"," 150.4135"
"039220","-24.6544"," 151.6311"
"016083","-26.7134"," 135.0782"
"040407","-28.0557"," 153.0330"
"091034","-40.8842"," 145.2161"
"010671","-33.1361"," 117.8814"
"070326","-37.1473"," 149.1496"
"034061","-22.9372"," 149.1386"
"075044","-33.8192"," 145.6235"
"037112","-23.9691"," 143.3031"
"056010","-30.9406"," 151.7078"
"075072","-33.9376"," 146.6062"
"005029","-21.6767"," 116.3928"
"035109","-22.8181"," 148.4900"
"010156","-31.0906"," 116.4522"
"018047","-32.0723"," 133.9401"
"031021","-17.2084"," 145.9088"
"016028","-30.0047"," 136.0445"
"010625","-32.7533"," 118.6267"
"012079","-31.0378"," 119.3064"
"058036","-28.3100"," 153.2229"
"059019","-30.3641"," 152.4061"
"041504","-27.7358"," 151.4117"
"018118","-32.5073"," 134.2142"
"018031","-32.8681"," 137.0030"
"010070","-30.3686"," 117.1133"
"040396","-26.7778"," 152.8033"
"055118","-30.9179"," 150.7001"
"061065","-32.1402"," 150.7285"
"054000","-30.0478"," 150.9392"
"025004","-34.6922"," 139.9644"
"060017","-31.7004"," 152.5833"
"012077","-32.8606"," 121.7081"
"010298","-31.5594"," 118.5819"
"061075","-32.2284"," 150.2161"
"072154","-35.2153"," 148.0306"
"035029","-26.3564"," 150.0463"
"054049","-29.4050"," 150.9012"
"018193","-33.0267"," 136.3171"
"067014","-33.4623"," 151.0034"
"007078","-26.5593"," 118.5423"
"069019","-36.8402"," 149.5257"
"076051","-34.3620"," 141.9038"
"005001","-21.8047"," 117.8056"
"008064","-30.6719"," 116.3078"
"033041","-20.5392"," 148.6572"
"040469","-25.8694"," 152.3172"
"035199","-22.2756"," 147.4431"
"010010","-30.9386"," 117.9642"
"085179","-38.1036"," 145.9573"
"076069","-34.9536"," 142.7392"
"007030","-26.1142"," 117.5047"
"007101","-26.2822"," 118.6933"
"012092","-28.5606"," 119.0161"
"037109","-22.4936"," 139.6615"
"009506","-34.4678"," 116.9169"
"084044","-37.0071"," 148.2666"
"041041","-28.2414"," 151.7264"
"044129","-26.4214"," 144.9992"
"094012","-42.7406"," 147.4453"
"040199","-26.7433"," 151.8439"
"007083","-23.6239"," 118.6561"
"030072","-20.0969"," 144.9875"
"040186","-27.2906"," 152.8214"
"009615","-34.7150"," 118.4692"
"040485","-28.2490"," 152.5232"
"018098","-32.9475"," 135.2754"
"018037","-33.1861"," 136.5590"
"037006","-22.5150"," 143.0386"
"007019","-24.0019"," 119.5725"
"019061","-32.0545"," 138.6427"
"004015","-21.7219"," 119.3989"
"077023","-35.6694"," 143.3769"
"037000","-22.1542"," 142.4900"
"040182","-28.2312"," 153.1356"
"044047","-26.4400"," 147.6942"
"044062","-25.7067"," 146.3222"
"041098","-28.2915"," 152.2464"
"043052","-27.0006"," 149.4969"
"014815","-16.6346"," 129.3282"
"006020","-25.3600"," 114.2292"
"040424","-27.7550"," 152.0814"
"055065","-31.1660"," 150.5441"
"048018","-29.5381"," 148.4046"
"068036","-34.7358"," 150.5332"
"035172","-23.4542"," 149.2608"
"022822","-35.9041"," 137.4542"
"010503","-32.0311"," 118.0947"
"037002","-22.8200"," 143.3850"
"010644","-33.1256"," 118.1961"
"044133","-25.3750"," 147.1072"
"010012","-31.5258"," 117.4064"
"038031","-25.6881"," 140.2283"
"010053","-31.7233"," 118.4372"
"033030","-19.8775"," 147.6869"
"010082","-31.1125"," 117.9186"
"092010","-42.5844"," 148.0636"
"035073","-25.3167"," 146.0194"
"081053","-36.5107"," 145.0904"
"018007","-34.1003"," 135.8415"
